epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81143,3.83216,3.83315,2.86513,0.17133,0.01613,0.01764,0.01403,4.75069,4.33348,3.44539,1.667e-05,1.667e-05,1.667e-05
2,19.897,3.74756,3.83927,2.73449,0.16466,0.01613,0.01756,0.01402,4.74358,4.32542,3.435,4.93499e-05,4.93499e-05,4.93499e-05
3,30.5271,3.48621,3.74169,2.61045,0.56792,0.20764,0.05847,0.01826,2.45805,18.7243,1.80181,8.11496e-05,8.11496e-05,8.11496e-05
4,43.0621,3.08187,2.47078,2.10426,0.51543,0.08287,0.00735,0.00172,3.26812,inf,2.47544,0.000112069,0.000112069,0.000112069
5,55.6587,2.49246,2.90306,1.75332,0.51734,0.07542,0.00831,0.00322,3.1955,inf,2.31866,0.000142108,0.000142108,0.000142108
6,68.2929,2.60419,2.53664,1.85514,0.02843,0.06611,0.01079,0.00421,3.21665,7.50523,2.78611,0.000171268,0.000171268,0.000171268
7,81.3257,2.44029,2.11458,1.73395,0.03326,0.14741,0.0139,0.00383,2.95469,inf,2.07148,0.000199547,0.000199547,0.000199547
8,94.5427,2.26633,2.09517,1.68773,0.03074,0.13655,0.01075,0.0035,2.8851,inf,2.1629,0.000226945,0.000226945,0.000226945
9,110.886,2.25036,1.85905,1.65172,0.02808,0.21508,0.0154,0.00442,2.70124,inf,2.1338,0.000253464,0.000253464,0.000253464
10,127.777,2.23102,1.86359,1.66243,0.0181,0.17877,0.008,0.00221,2.70015,inf,2.2426,0.000279102,0.000279102,0.000279102
11,141.156,2.09259,1.56835,1.59852,0.0162,0.18808,0.00732,0.00189,2.85603,inf,2.62929,0.000303861,0.000303861,0.000303861
12,156.039,1.99051,1.61914,1.51683,0.01746,0.20484,0.00827,0.00243,2.78172,inf,2.70769,0.000327739,0.000327739,0.000327739
13,173.172,2.13441,1.64595,1.59033,0.00915,0.10615,0.00214,0.00061,2.57886,inf,2.10207,0.000350737,0.000350737,0.000350737
14,193.116,2.20077,1.75916,1.65422,0.01222,0.14339,0.00487,0.00129,2.72296,inf,2.44291,0.000372855,0.000372855,0.000372855
15,210.462,2.27051,1.59043,1.6837,0.0139,0.14991,0.00736,0.00184,2.98018,inf,3.51989,0.000394092,0.000394092,0.000394092
16,228.187,2.0924,1.46981,1.52366,0.01598,0.16324,0.00939,0.00278,3.05735,inf,6.44505,0.00041445,0.00041445,0.00041445
17,247.422,1.87104,1.42283,1.50003,0.00616,0.07293,0.00447,0.00164,2.73688,inf,9.57257,0.000433927,0.000433927,0.000433927
18,266.869,1.94881,1.3976,1.50687,0.00111,0.01304,4e-05,1e-05,2.48572,inf,5.43263,0.000452524,0.000452524,0.000452524
19,285.253,1.88078,1.36029,1.49477,0.00024,0.00279,0,0,2.68335,inf,3.91431,0.000470241,0.000470241,0.000470241
20,300.785,1.89151,1.43579,1.48858,0.00433,0.04935,0.00045,0.00015,2.64292,inf,3.22319,0.000487077,0.000487077,0.000487077
21,319.641,1.89154,1.4052,1.46452,0.00546,0.06238,0.00068,0.00025,2.58797,inf,4.04046,0.000503034,0.000503034,0.000503034
22,335.567,1.92021,1.46585,1.50786,0.00174,0.01955,6e-05,2e-05,3.07724,inf,7.9384,0.00051811,0.00051811,0.00051811
